Feast, Rank, Weekday, Date
Circumcisio Domini et Oct Nativitatis, d2, Thursday, 2578-01-01 00:00:00
Octava S Stephani Protomartyris, sp, Friday, 2578-01-02 00:00:00
Octava S Joannis Ap & Ev, sp, Saturday, 2578-01-03 00:00:00
Octava Ss Innocentium Mm, sp, Sunday, 2578-01-04 00:00:00
SS Nominis Jesu, d2, Sunday, 2578-01-04 00:00:00
Dominica in Septuagesima, sd2, Sunday, 2578-01-25 00:00:00
Dominica in Sexagesima, sd2, Sunday, 2578-02-01 00:00:00
Dominica in Quinquagesima, sd2, Sunday, 2578-02-08 00:00:00
De die II infra Oct Epiphaniæ, sd, Wednesday, 2578-01-07 00:00:00
De die III infra Oct Epiphaniæ, sd, Thursday, 2578-01-08 00:00:00
De die IV infra Oct Epiphaniæ, sd, Friday, 2578-01-09 00:00:00
De die V infra Oct Epiphaniæ, sd, Saturday, 2578-01-10 00:00:00
De die VII infra Oct Epiphaniæ, sd, Monday, 2578-01-12 00:00:00
S Familiæ Jesu Mariæ et Joseph; Dominica I post Epiphaniam, dm, Sunday, 2578-01-11 00:00:00
Dominica II post Epiphaniam, sp, Sunday, 2578-01-18 00:00:00
Dies Cinerum, sp, Wednesday, 2578-02-11 00:00:00
Feria V post Diem Cinerum, sp, Wednesday, 2578-02-11 00:00:00
Feria VI post Diem Cinerum, sp, Wednesday, 2578-02-11 00:00:00
Sabbato post Diem Cinerum, sp, Wednesday, 2578-02-11 00:00:00
Dominica I in Quadragesima, sd1, Sunday, 2578-02-15 00:00:00
Feria II infra Hebd I in Quadragesima, sp, Monday, 2578-02-16 00:00:00
Feria III infra Hebd I in Quadragesima, sp, Tuesday, 2578-02-17 00:00:00
Feria IV Quattuor Temporum Quadragesimæ, sp, Wednesday, 2578-02-18 00:00:00
Feria V infra Hebd I in Quadragesima, sp, Thursday, 2578-02-19 00:00:00
Feria VI Quattuor Temporum Quadragesimæ, sp, Friday, 2578-02-20 00:00:00
Sabbato Quattuor Temporum Quadragesimæ, sp, Saturday, 2578-02-21 00:00:00
Dominica II in Quadragesima, sd1, Sunday, 2578-02-22 00:00:00
Feria II infra Hebd II in Quadragesima, sp, Monday, 2578-02-23 00:00:00
Feria III infra Hebd II in Quadragesima, sp, Tuesday, 2578-02-24 00:00:00
Feria IV infra Hebd II in Quadragesima, sp, Wednesday, 2578-02-25 00:00:00
Feria V infra Hebd II in Quadragesima, sp, Thursday, 2578-02-26 00:00:00
Feria VI infra Hebd II in Quadragesima, sp, Friday, 2578-02-27 00:00:00
Sabbato infra Hebd II in Quadragesima, sp, Saturday, 2578-02-28 00:00:00
Dominica III in Quadragesima, sd1, Sunday, 2578-03-01 00:00:00
Feria II infra Hebd III in Quadragesima, sp, Monday, 2578-03-02 00:00:00
Feria III infra Hebd III in Quadragesima, sp, Tuesday, 2578-03-03 00:00:00
Feria IV infra Hebd III in Quadragesima, sp, Wednesday, 2578-03-04 00:00:00
